Total time to construct inverted index: 15.814880609512329 seconds.
Size of inverted index: 
unique terms indexed: 13352
average postings list length: 6.995206710605153 postings
total unique positional indicies: 93400

*********************
Token: bart
Found in 104 documents
docID: 3.1 @ position 8
docID: 3.1 @ position 44
docID: 3.1 @ position 102
docID: 3.1 @ position 125
docID: 3.1 @ position 132
docID: 3.1 @ position 147
docID: 3.1 @ position 163
docID: 3.1 @ position 339
docID: 3.1 @ position 348
docID: 3.1 @ position 689
docID: 3.1 @ position 695
docID: 3.1 @ position 973
docID: 3.1 @ position 1006
docID: 3.1 @ position 1149
docID: 3.1 @ position 1893
docID: 3.2 @ position 52
docID: 3.2 @ position 344
docID: 3.2 @ position 662
docID: 3.3 @ position 131
docID: 3.3 @ position 154
docID: 3.3 @ position 187
docID: 3.3 @ position 196
docID: 3.3 @ position 473
docID: 3.3 @ position 747
docID: 3.3 @ position 750
docID: 3.3 @ position 788
docID: 3.3 @ position 849
docID: 3.4 @ position 21
docID: 3.4 @ position 52
docID: 3.4 @ position 71
docID: 3.4 @ position 85
docID: 3.4 @ position 111
docID: 3.4 @ position 122
docID: 3.4 @ position 130
docID: 3.4 @ position 146
docID: 3.4 @ position 159
docID: 3.4 @ position 164
docID: 3.4 @ position 208
docID: 3.4 @ position 223
docID: 3.4 @ position 244
docID: 3.4 @ position 471
docID: 3.4 @ position 486
docID: 3.4 @ position 510
docID: 3.4 @ position 533
docID: 3.4 @ position 582
docID: 3.4 @ position 604
docID: 3.4 @ position 628
docID: 3.4 @ position 655
docID: 3.4 @ position 705
docID: 3.4 @ position 767
docID: 3.4 @ position 844
docID: 3.4 @ position 868
docID: 3.4 @ position 918
docID: 3.5 @ position 174
docID: 3.5 @ position 190
docID: 3.5 @ position 200
docID: 3.5 @ position 218
docID: 3.5 @ position 224
docID: 3.5 @ position 229
docID: 3.5 @ position 285
docID: 3.5 @ position 341
docID: 3.5 @ position 735
docID: 3.5 @ position 769
docID: 3.5 @ position 782
docID: 3.5 @ position 802
docID: 3.5 @ position 814
docID: 3.5 @ position 816
docID: 3.5 @ position 822
docID: 3.6 @ position 9
docID: 3.6 @ position 21
docID: 3.6 @ position 35
docID: 3.6 @ position 185
docID: 3.6 @ position 208
docID: 3.6 @ position 263
docID: 3.6 @ position 696
docID: 3.6 @ position 853
docID: 3.7 @ position 11
docID: 3.7 @ position 48
docID: 3.7 @ position 102
docID: 3.7 @ position 131
docID: 3.7 @ position 137
docID: 3.7 @ position 152
docID: 3.7 @ position 164
docID: 3.7 @ position 174
docID: 3.7 @ position 185
docID: 3.7 @ position 672
docID: 3.7 @ position 694
docID: 3.7 @ position 905
docID: 3.7 @ position 912
docID: 3.7 @ position 926
docID: 3.7 @ position 1167
docID: 3.7 @ position 1198
docID: 3.8 @ position 146
docID: 3.9 @ position 17
docID: 3.9 @ position 27
docID: 3.9 @ position 45
docID: 3.9 @ position 70
docID: 3.9 @ position 78
docID: 3.9 @ position 87
docID: 3.9 @ position 95
docID: 3.9 @ position 109
docID: 3.9 @ position 130
docID: 3.9 @ position 144
docID: 3.9 @ position 209
docID: 3.9 @ position 292
docID: 3.9 @ position 312
docID: 3.9 @ position 325
